leftArm	 a 	 d 	 alpha 	 offset
torsoTaxel26_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel26_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel26_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel26_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel26_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel26_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel26_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel27_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel27_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel27_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel27_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel27_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel27_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel27_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel27_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel27_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel27_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel28_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel28_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel28_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel28_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel28_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel28_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel28_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel28_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel28_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel28_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel29_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel29_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel29_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel29_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel29_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel29_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel29_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel29_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel29_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel29_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel30_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel30_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel30_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel30_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel30_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel30_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel30_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel30_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel30_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel30_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel31_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel31_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel31_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel31_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel31_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel31_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel31_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel31_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel31_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel31_11 0.00000000 0.00000000 0.00000000 0.00000000

headSkin	 a 	 d 	 alpha 	 offset
headPlastic 0.00000000 0.00000000 0.00000000 0.00000000
headLeftPatch 0.00000000 0.00000000 0.00000000 0.00000000
headRightPatch 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle0 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle1 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle2 0.00000000 0.00000000 0.00000000 0.00000000
