leftArm	 a 	 d 	 alpha 	 offset
leftShoulderPitch 0.00000000 0.10000000 -1.57079633 0.00000000
leftShoulderRoll 0.00000000 0.09800000 1.57079633 0.00000000
leftElbowYaw 0.00000000 0.00000000 1.57079633 1.57079633
leftElbowRoll 0.01500000 0.10500000 -1.57079633 0.00000000
leftWristYaw 0.00000000 0.00000000 1.57079633 0.00000000
leftEE 0.00000000 0.11370000 -1.57079633 3.14159265

rightArm	 a 	 d 	 alpha 	 offset
rightShoulderPitch 0.00000000 0.10000000 -1.57079633 0.00000000
rightShoulderRoll 0.00000000 -0.09800000 1.57079633 0.00000000
rightElbowYaw 0.00000000 0.00000000 1.57079633 1.57079633
rightElbowRoll -0.01500000 0.10500000 -1.57079633 0.00000000
rightWristYaw 0.00000000 0.00000000 1.57079633 0.00000000
rightEE 0.00000000 0.11370000 -1.57079633 3.14159265

head	 a 	 d 	 alpha 	 offset
headYaw 0.00000000 0.12650000 0.00000000 0.00000000
headPitch 0.00000000 0.00000000 -1.57079633 0.00000000
headEE 0.00000000 0.00000000 0.00000000 0.00000000

torsoSkin	 x(a) 	 y(d) 	 z(alfa) 	 alfa(offset) 	 beta(-) 	 gama(-)
torsoTaxel11_7 -0.00057707 0.00650746 -0.00000005 0.00000000 0.00000000 0.00000000
torsoTaxel11_8 -0.00028857 0.00325419 -0.00566002 0.00000000 0.00000000 0.00000000
torsoTaxel11_9 0.00000001 -0.00000008 -0.01131700 0.00000000 0.00000000 0.00000000
torsoTaxel11_11 0.00028858 -0.00325427 -0.00565998 0.00000000 0.00000000 0.00000000
torsoTaxel12_0 -0.00160779 0.00633207 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel12_1 -0.00241180 0.00949859 -0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel12_2 -0.00080402 0.00316652 -0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel12_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel12_4 0.00080402 -0.00316652 -0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel12_5 0.00241180 -0.00949859 -0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel12_7 0.00160779 -0.00633207 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel12_8 0.00080402 -0.00316652 0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel12_9 0.00000000 0.00000000 0.01131700 0.00000000 0.00000000 0.00000000
torsoTaxel12_11 -0.00080402 0.00316652 0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel13_0 -0.00153816 0.00288170 -0.00565774 0.00000000 0.00000000 0.00000000
