leftArm	 a 	 d 	 alpha 	 offset
torsoTaxel9_1 -0.00317612 0.00907928 0.00566712 0.00000000 0.00000000 0.00000000
torsoTaxel9_2 -0.00167164 0.00604992 -0.00000592 0.00000000 0.00000000 0.00000000
torsoTaxel9_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel9_4 -0.00043790 0.00314994 -0.00565065 0.00000000 0.00000000 0.00000000
torsoTaxel9_5 0.00057910 0.00005667 -0.01129680 0.00000000 0.00000000 0.00000000
torsoTaxel9_7 0.00109559 -0.00315884 -0.00561270 0.00000000 0.00000000 0.00000000
torsoTaxel9_8 0.00135567 -0.00646419 -0.00004101 0.00000000 0.00000000 0.00000000
torsoTaxel9_9 0.00156814 -0.00985595 0.00555158 0.00000000 0.00000000 0.00000000
torsoTaxel9_11 0.00046349 -0.00341090 0.00561023 0.00000000 0.00000000 0.00000000
torsoTaxel10_0 0.00001985 -0.00329319 0.00552930 0.00000000 0.00000000 0.00000000
torsoTaxel10_1 -0.00057068 -0.00012652 0.01116781 0.00000000 0.00000000 0.00000000
torsoTaxel10_2 -0.00053794 0.00317899 0.00556978 0.00000000 0.00000000 0.00000000
torsoTaxel10_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel10_4 -0.00058860 0.00653110 0.00001406 0.00000000 0.00000000 0.00000000
torsoTaxel10_5 -0.00084487 0.00992138 -0.00566970 0.00000000 0.00000000 0.00000000
torsoTaxel10_7 0.00000063 0.00343661 -0.00572339 0.00000000 0.00000000 0.00000000
torsoTaxel10_8 0.00056072 -0.00319946 -0.00580351 0.00000000 0.00000000 0.00000000
torsoTaxel10_9 0.00095088 -0.00962759 -0.00587810 0.00000000 0.00000000 0.00000000
torsoTaxel10_11 0.00049183 -0.00642096 -0.00016856 0.00000000 0.00000000 0.00000000
torsoTaxel11_0 0.00053021 -0.00646906 -0.00015900 0.00000000 0.00000000 0.00000000
torsoTaxel11_1 0.00045959 -0.00976819 0.00554965 0.00000000 0.00000000 0.00000000
torsoTaxel11_2 0.00012701 -0.00325011 0.00556548 0.00000000 0.00000000 0.00000000
torsoTaxel11_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel11_4 -0.00045854 0.00323485 0.00563040 0.00000000 0.00000000 0.00000000
torsoTaxel11_5 -0.00139251 0.00968875 0.00566437 0.00000000 0.00000000 0.00000000
torsoTaxel11_7 -0.00068736 0.00637339 -0.00006725 0.00000000 0.00000000 0.00000000
torsoTaxel11_8 -0.00003523 0.00318266 -0.00569258 0.00000000 0.00000000 0.00000000
torsoTaxel11_9 0.00017051 -0.00000964 -0.01138458 0.00000000 0.00000000 0.00000000
torsoTaxel11_11 0.00053668 -0.00330496 -0.00566729 0.00000000 0.00000000 0.00000000
torsoTaxel12_0 -0.00164168 0.00582008 0.00003060 0.00000000 0.00000000 0.00000000
torsoTaxel12_1 -0.00296064 0.00876401 -0.00558392 0.00000000 0.00000000 0.00000000
torsoTaxel12_2 -0.00075659 0.00260369 -0.00560301 0.00000000 0.00000000 0.00000000
torsoTaxel12_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel12_4 0.00077376 -0.00359284 -0.00554537 0.00000000 0.00000000 0.00000000
torsoTaxel12_5 0.00191755 -0.01004854 -0.00567742 0.00000000 0.00000000 0.00000000
torsoTaxel12_7 0.00165562 -0.00680756 0.00005321 0.00000000 0.00000000 0.00000000
torsoTaxel12_8 0.00091910 -0.00362696 0.00560196 0.00000000 0.00000000 0.00000000
torsoTaxel12_9 0.00008698 -0.00051667 0.01124698 0.00000000 0.00000000 0.00000000
